AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2743,-0.1968,0.9137,-0.1805,0.7321,0.3393,-2.975,1.365,-10.5175,-12.155575194321663,-16.36323387367978,-98.89561664788584
-0.2747,-0.1978,0.9125,-0.1805,0.7321,0.3393,-3.2725,1.5925,-10.8238,-12.230441761955824,-16.39260956417379,-98.90321695263562
-0.2787,-0.1957,0.9093,-0.1797,0.735,0.3386,-3.5438,1.8112,-11.0162,-12.146156149412523,-16.664207068641986,-98.74685336134567
-0.2758,-0.1978,0.9162,-0.1797,0.735,0.3386,-2.5288,1.4437,-10.2987,-12.182619238273045,-16.410977838798562,-98.8328311008274
-0.2741,-0.2003,0.9119,-0.1794,0.7342,0.3435,-3.5875,1.4175,-10.64,-12.387869600264919,-16.364021056172238,-98.76996317254886
-0.2722,-0.1982,0.9125,-0.179,0.735,0.3366,-3.4913,1.4262,-10.605,-12.254923874101832,-16.257762446387314,-98.88508069403605
-0.2702,-0.1985,0.9118,-0.179,0.735,0.3366,-3.675,1.4962,-10.1675,-12.281666044234173,-16.154603870237306,-98.91910889875489
-0.2765,-0.1992,0.9106,-0.1794,0.7333,0.3415,-2.7738,1.435,-10.7537,-12.339325298786553,-16.50194933984745,-98.76387221498037
-0.2746,-0.1993,0.911,-0.1794,0.7333,0.3415,-3.3338,1.33,-10.5,-12.340210560055333,-16.412852372859238,-98.79505723894356
-0.2717,-0.1973,0.9147,-0.1804,0.7318,0.3365,-2.8612,1.155,-10.5787,-12.172561600847141,-16.203073112020217,-99.00062786525847
-0.2743,-0.1982,0.9084,-0.179,0.733,0.337,-3.185,1.19,-10.7975,-12.307912191868118,-16.424452902062075,-98.8530129329492
-0.2764,-0.1982,0.9117,-0.179,0.733,0.337,-3.6925,1.68,-10.3775,-12.26513670030017,-16.497644974757836,-98.8249470608642
-0.2726,-0.1979,0.9132,-0.1803,0.7342,0.3404,-3.5788,1.3387,-10.29,-12.22760930967936,-16.276700526390453,-98.88643097007913
-0.2744,-0.1982,0.9119,-0.1803,0.7342,0.3372,-3.6575,0.9887,-10.0012,-12.262343173352507,-16.37989726297037,-98.93169531668036
-0.2737,-0.1987,0.9132,-0.1782,0.7336,0.3372,-2.835,0.805,-10.6225,-12.275421842852362,-16.326330352569798,-98.81279768776281
-0.2719,-0.1979,0.9096,-0.1805,0.7336,0.3367,-3.0975,1.2862,-10.5787,-12.274451597820283,-16.284894914841484,-98.99071332673445
-0.2769,-0.1968,0.908,-0.1805,0.7336,0.3367,-3.0713,1.1987,-10.4825,-12.229248422055392,-16.579185797791737,-98.8956582646944
-0.2735,-0.1967,0.9163,-0.1794,0.733,0.3334,-3.5438,1.1812,-10.4387,-12.115950181849712,-16.285767676658377,-98.95745215233399
-0.2747,-0.1979,0.9123,-0.1794,0.7314,0.3399,-3.3163,1.1462,-10.395,-12.238925843424907,-16.391227885523424,-98.8210729327711
-0.2737,-0.1972,0.9145,-0.1786,0.7314,0.3399,-3.9813,1.1025,-10.3425,-12.168925412797302,-16.31208554186799,-98.773987652428
-0.2736,-0.1973,0.9143,-0.1829,0.733,0.3382,-3.8937,0.91,-10.1675,-12.177308713435718,-16.305223117957645,-99.09598463262186
-0.2719,-0.1971,0.9139,-0.1829,0.733,0.3382,-2.8,0.9975,-10.9287,-12.170534619497122,-16.220737546219972,-99.118852411464
-0.2741,-0.1967,0.9133,-0.1829,0.7322,0.3377,-3.5613,1.19,-10.64,-12.15433468287378,-16.344284515134486,-99.0945810958599
-0.2708,-0.1956,0.9198,-0.178,0.7329,0.335,-3.8413,1.0762,-10.7712,-12.005746736555698,-16.0798994918907,-98.85671744969301
-0.2742,-0.1988,0.9105,-0.178,0.7329,0.335,-2.9488,0.84,-10.6575,-12.316013746781213,-16.378363182397162,-98.84264218409577
-0.2741,-0.1972,0.9159,-0.1794,0.7325,0.3372,-3.2987,1.26,-10.3337,-12.151103914522603,-16.311406746499966,-98.87591138569958
-0.2722,-0.1979,0.9157,-0.1794,0.7325,0.3372,-3.1238,1.5662,-10.22,-12.19503257597636,-16.207327466061983,-98.91532069196646
